name,localcallservice,address,time
"九份遊客中心 ",(02)24063270,(22448)新北市瑞芳區汽車路89號一樓,9：00-18：00
烏來瀑布遊客中心,(02)26616942,(23341)新北市烏來區烏來里瀑布34號,9：00-17：00
烏來遊客中心,(02)26616355,(23341)新北市烏來區烏來街45-1號,9：00-18：00
十分遊客中心,(02)24958409,(22641)新北市平溪區南山里南山坪136號,8：00-18：00
猴硐煤礦博物園區資訊站(遊客中心),(02)24974143,(22446)新北市瑞芳區柴寮路42號,9：00-18：00
淡水捷運站旅服中心,(02)26267613,(251)新北市淡水區中正路1號,9：00-18：00
板橋火車站旅服中心,(02)29657806,(22041)新北市板橋區縣民大道2段7號B1,9：00-18：00
新店捷運站旅服中心,(02)29188509,(23152)新北市新店區北宜路1段2號旁,9：00-18：00
瑞芳火車站旅服中心,(02)24973813,(22441)新北市瑞芳區明燈路3段82號,9：00-18：00
水湳洞遊客中心,"(02)24961588 ","(22451)新北市瑞芳區濂洞里洞頂路155-8號 ",9：00-18：00
